Diet_type,Recipe_name,Protein(g)
paleo,Swiss Paleo’s Homemade Italian & Chorizo Sausage,1273.61
dash,Salmon Mousse,1239.47
dash,Homemade Turkey Alphabet Soup,1190.35
paleo,Turkey Soup,1142.58
keto,Sara Louise's Keto Smoked Holiday Turkey,1092.0
dash,Barbecue Chicken Legs,1017.25
mediterranean,Fava Bean Salad with Mountain Ham and Mint,970.31
dash,12th Man Hot Wings,807.03
keto,"Mayo Free Deviled Eggs (Paleo, Whole30 + Keto)",766.99
keto,"Low Carb Beef and Cheddar Cauliflower Bake, THM S meal, Keto too",710.81
keto,"Orange and Five-Spice Roasted Chicken Legs | Keto, Paleo",677.22
paleo,"Orange and Five-Spice Roasted Chicken Legs | Keto, Paleo",677.22
keto,"Low Carb Salmon Cakes (Keto, Grain Free)",656.95
mediterranean,Poached Salt Cod with Vegetables and Garlic Mayonnaise,656.65
mediterranean,Mediterranean Pizza,628.29
mediterranean,Orange and Cumin Leg of Lamb with Roasted Tomatoes and Garlic Recipe,607.03
paleo,Vietnamese Pho Pressure Cooker (Noodle Soup),602.91
mediterranean,Meatballs Braised with Kale,531.48
dash,Jazzed Up Turkey Tetrazzini,517.47
paleo,Paleo Slow Cooker Honey Garlic Chicken and Vegetables recipes,501.65
vegan,Tangy Teriyaki Salmon,431.1
vegan,Mini nut roasts with candied carrots,421.72
vegan,Vegan Pinto Bean Chili,381.55
vegan,Vegan Chili and Cornbread Casserole,319.54
vegan,Kentucky fried seitan,317.43
